original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
medical_specialty,medical_specialty_Cardiology,-0.17962278580458135,0.17962278580458135,4.469844667731593e-06,-0.25634827638467234,-0.10289729522449038,0.0011878193018003413,0.5084464948356359,0.6923238469598877
medical_specialty,medical_specialty_Cardiology-Pediatric,0.00032623189751405,0.00032623189751405,0.999715011086856,-1.7898333810743834,1.7904858448694116,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_DCPTEAM,7.929440618814438e-05,7.929440618814438e-05,0.9999518089600434,-2.5730971055225456,2.573255694334922,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Dentistry,-7.804607725102414e-06,7.804607725102414e-06,0.9999960090610058,-3.0582318410748277,3.0582162318593777,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Dermatology,-3.4566575541414624e-06,3.4566575541414624e-06,0.9999990404739982,-5.633693069276599,5.633686155961491,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Emergency/Trauma,-0.14126124368937265,0.14126124368937265,5.5797577428018386e-05,-0.20996157693694326,-0.07256091044180205,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Endocrinology,-0.16240867205267606,0.16240867205267606,0.5253086265951303,-0.6635527345610124,0.33873539045566026,0.00014312666473337288,0.5004009717408642,0.6930479727158224
medical_specialty,medical_specialty_Endocrinology-Metabolism,0.00011195965214381683,0.00011195965214381683,0.9998784588342149,-1.4404483610134051,1.4406722803176926,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Family/GeneralPractice,0.08015473728579542,0.08015473728579542,0.008327593901924502,0.020613548554716976,0.13969592601687386,6.984737032844635e-05,0.5025751469800934,0.6930987660521326
medical_specialty,medical_specialty_Gastroenterology,0.1098644329202466,0.1098644329202466,0.2764761961652402,-0.0880021063663776,0.3077309722068708,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Gynecology,-0.03921676705204754,0.03921676705204754,0.9302129036670215,-0.9168945135884242,0.8384609794843291,0.00016676758191125352,0.5003042876901798,0.6930315860807347
medical_specialty,medical_specialty_Hematology,0.379568369336804,0.379568369336804,0.08356183349640833,-0.050360840115913796,0.8094975787895218,0.00034128745628714263,0.5008098024298422,0.6929106181218594
medical_specialty,medical_specialty_Hematology/Oncology,0.5253480357237018,0.5253480357237018,0.00035842437760691404,0.23684947293621095,0.8138465985111927,0.00023155768550875422,0.500941671046361,0.6929866770030979
